mudra,type,description,meaning,image
Pataka,Asamyutha,All fingers straight and joined together,Clouds forest denial blessing stop,images/Pataka.jpg
Pataka,Asamyutha,Flat hand with fingers together,Clouds forest denial blessing stop,images/Pataka.jpg
Pataka,Asamyutha,Hand gesture with all fingers extended,Clouds forest denial blessing stop,images/Pataka.jpg

Tripataka,Asamyutha,Ring finger bent while others remain straight,Crown tree arrow flames,images/Tripataka.jpg
Tripataka,Asamyutha,Hand gesture with bent ring finger,Crown tree arrow flames,images/Tripataka.jpg
Tripataka,Asamyutha,Only ring finger folded in hand,Crown tree arrow flames,images/Tripataka.jpg

Ardhapataka,Asamyutha,Little finger bent and others straight,Leaves knife flag tower,images/Ardhapataka.jpg
Ardhapataka,Asamyutha,Pinky finger folded in hand gesture,Leaves knife flag tower,images/Ardhapataka.jpg
Ardhapataka,Asamyutha,Hand with bent little finger,Leaves knife flag tower,images/Ardhapataka.jpg

Kartarimukha,Asamyutha,Index and middle finger separated,Separation lightning opposition,images/Kartarimukha.jpg
Kartarimukha,Asamyutha,Scissor-like finger gesture,Separation lightning opposition,images/Kartarimukha.jpg
Kartarimukha,Asamyutha,Two fingers split apart hand gesture,Separation lightning opposition,images/Kartarimukha.jpg

Mayura,Asamyutha,Ring finger touching thumb,Peacock creeper tilak,images/Mayura.jpg
Mayura,Asamyutha,Thumb joined with ring finger,Peacock creeper tilak,images/Mayura.jpg
Mayura,Asamyutha,Hand shape with thumb and ring finger touching,Peacock creeper tilak,images/Mayura.jpg

Ardhachandra,Asamyutha,Thumb extended outward while fingers stay together,Moon greeting waist,images/Ardhachandra.jpg
Ardhachandra,Asamyutha,Half moon shaped hand gesture,Moon greeting waist,images/Ardhachandra.jpg
Ardhachandra,Asamyutha,Hand with stretched thumb and joined fingers,Moon greeting waist,images/Ardhachandra.jpg

Arala,Asamyutha,Index finger bent slightly,Drinking poison wind,images/Arala.jpg
Arala,Asamyutha,Hand gesture with bent index finger,Drinking poison wind,images/Arala.jpg
Arala,Asamyutha,Pointing finger curved while others remain straight,Drinking poison wind,images/Arala.jpg

Shukatunda,Asamyutha,Index finger sharply bent,Parrot beak spear,images/Shukatunda.jpg
Shukatunda,Asamyutha,Hand shaped like parrot beak,Parrot beak spear,images/Shukatunda.jpg
Shukatunda,Asamyutha,Sharp curved finger hand gesture,Parrot beak spear,images/Shukatunda.jpg

Mushti,Asamyutha,Closed fist,Strength anger holding hair,images/Mushti.jpg
Mushti,Asamyutha,All fingers folded tightly into fist,Strength anger holding hair,images/Mushti.jpg
Mushti,Asamyutha,Hand forming tight fist gesture,Strength anger holding hair,images/Mushti.jpg

Shikhara,Asamyutha,Thumb raised in closed fist,Bow pillar husband,images/Shikhara.jpg
Shikhara,Asamyutha,Fist with thumb pointing upward,Bow pillar husband,images/Shikhara.jpg
Shikhara,Asamyutha,Closed hand with raised thumb,Bow pillar husband,images/Shikhara.jpg

Hamsasya,Asamyutha,Thumb and index finger touching,Delicate things pearls,images/Hamsasya.jpg
Hamsasya,Asamyutha,Index finger softly touching thumb,Delicate things pearls,images/Hamsasya.jpg
Hamsasya,Asamyutha,Hand gesture for delicate objects,Delicate things pearls,images/Hamsasya.jpg

Suchi,Asamyutha,Only index finger pointing,One truth teaching,images/Suchi.jpg
Suchi,Asamyutha,Index finger extended upward,One truth teaching,images/Suchi.jpg
Suchi,Asamyutha,Hand with pointing finger gesture,One truth teaching,images/Suchi.jpg

